group: Ejercicio 5.1 - Alumnos y Prácticas
description: Dataset de ejemplo

ALUMNO = {NroAlumno, Nombre, Grupo
    1, 'Alumno 01', 'A'
    2, 'Alumno 02', 'A'
    3, 'Alumno 03', 'A'
    4, 'Alumno 04', 'A'
    5, 'Alumno 05', 'A'
    6, 'Alumno 06', 'A'
    7, 'Alumno 07', 'A'
    8, 'Alumno 08', 'A'
    9, 'Alumno 09', 'A'
    10, 'Alumno 10', 'A'
    11, 'Alumno 11', 'B'
    12, 'Alumno 12', 'B'
    13, 'Alumno 13', 'B'
    14, 'Alumno 14', 'B'
    15, 'Alumno 15', 'B'
    16, 'Alumno 16', 'B'
    17, 'Alumno 17', 'B'
    18, 'Alumno 18', 'B'
    19, 'Alumno 19', 'B'
    20, 'Alumno 20', 'B'
    21, 'Alumno 21', 'C'
    22, 'Alumno 22', 'C'
    23, 'Alumno 23', 'C'
    24, 'Alumno 24', 'C'
    25, 'Alumno 25', 'C'
    26, 'Alumno 26', 'C'
    27, 'Alumno 27', 'C'
    28, 'Alumno 28', 'C'
    29, 'Alumno 29', 'C'
    30, 'Alumno 30', 'C'
    31, 'Alumno 31', 'D'
    32, 'Alumno 32', 'D'
    33, 'Alumno 33', 'D'
    34, 'Alumno 34', 'D'
    35, 'Alumno 35', 'D'
    36, 'Alumno 36', 'D'
    37, 'Alumno 37', 'D'
    38, 'Alumno 38', 'D'
    39, 'Alumno 39', 'D'
    40, 'Alumno 40', 'D'
    41, 'Alumno 41', 'E'
    42, 'Alumno 42', 'E'
    43, 'Alumno 43', 'E'
    44, 'Alumno 44', 'E'
    45, 'Alumno 45', 'E'
    46, 'Alumno 46', 'E'
    47, 'Alumno 47', 'E'
    48, 'Alumno 48', 'E'
    49, 'Alumno 49', 'E'
    50, 'Alumno 50', 'E'
}

PRACTICA = {NroPractica, Curso, Fecha
    101, 'Bases de Datos', 2024-09-01
    102, 'Bases de Datos', 2024-09-15
    103, 'Bases de Datos', 2024-10-01
    201, 'Algoritmos', 2024-09-10
    202, 'Algoritmos', 2024-10-05
}

ENTREGA = {NroAlumno, NroPractica, Nota
    1, 101, 8
    1, 102, 9
    1, 103, 7
    2, 101, 6
    2, 102, 7
    3, 101, 9
    3, 103, 8
    4, 101, 5
    5, 101, 10
    6, 102, 8
    7, 103, 6
    8, 101, 7
    9, 102, 9
    10, 103, 8

    11, 101, 6
    12, 101, 7
    13, 102, 8
    14, 103, 9
    15, 101, 5
    16, 102, 6
    17, 103, 7
    18, 101, 8
    19, 102, 9
    20, 103, 10

    21, 201, 6
    22, 201, 7
    23, 201, 8
    24, 201, 9
    25, 201, 10
    26, 202, 7
    27, 202, 6
    28, 202, 8
    29, 202, 9
    30, 202, 5

    31, 201, 8
    32, 201, 7
    33, 201, 6
    34, 201, 9
    35, 201, 10
    36, 202, 8
    37, 202, 7
    38, 202, 6
    39, 202, 9
    40, 202, 10

    41, 101, 6
    42, 102, 7
    43, 103, 8
    44, 101, 9
    45, 102, 5
    46, 103, 6
    47, 101, 7
    48, 102, 8
    49, 103, 9
    50, 101, 10
}





